Smoothness1_real;Class
0.118;M
0.085;M
0.11;M
0.142;M
0.1;M
0.128;M
0.095;M
0.119;M
0.127;M
0.119;M
0.082;M
0.097;M
0.097;M
0.084;M
0.113;M
0.114;M
0.099;M
0.117;M
0.098;M
0.098;B
0.108;B
0.102;B
0.107;M
0.094;M
0.112;M
0.119;M
0.105;M
0.094;M
0.108;M
0.098;M
0.106;M
0.111;M
0.12;M
0.094;M
0.104;M
0.096;M
0.098;M
0.09;B
0.094;M
0.102;M
0.082;M
0.123;M
0.091;M
0.104;M
0.097;M
0.11;M
0.086;B
0.116;M
0.103;B
0.088;B
0.086;B
0.077;B
0.083;B
0.115;M
0.091;M
0.095;B
0.105;M
0.114;M
0.081;B
0.098;B
0.113;B
0.124;B
0.105;M
0.077;B
0.112;M
0.117;M
0.104;B
0.081;B
0.107;B
0.098;B
0.09;M
0.098;B
0.107;M
0.101;M
0.092;B
0.092;M
0.129;B
0.106;M
0.129;M
0.099;B
0.11;B
0.108;B
0.106;M
0.122;M
0.097;B
0.099;M
0.094;M
0.09;M
0.088;B
0.113;B
0.09;B
0.092;M
0.074;B
0.102;B
0.104;M
0.091;M
0.104;B
0.102;B
0.09;B
0.098;M
0.095;M
0.117;B
0.08;B
0.1;B
0.1;B
0.14;M
0.114;B
0.085;B
0.133;M
0.088;B
0.104;B
0.099;B
0.078;B
0.112;B
0.115;B
0.098;B
0.095;B
0.116;M
0.116;M
0.084;M
0.094;B
0.105;M
0.145;M
0.11;B
0.071;B
0.088;B
0.093;M
0.082;M
0.115;B
0.102;M
0.107;B
0.109;M
0.101;M
0.095;B
0.094;M
0.091;M
0.105;B
0.096;B
0.117;M
0.116;B
0.092;B
0.097;M
0.109;B
0.087;B
0.078;B
0.115;B
0.109;M
0.081;B
0.1;B
0.079;B
0.114;B
0.094;B
0.107;B
0.098;B
0.094;B
0.087;B
0.112;M
0.074;B
0.093;B
0.075;B
0.109;B
0.087;M
0.112;M
0.101;B
0.084;M
0.084;B
0.096;B
0.089;M
0.105;M
0.099;B
0.103;B
0.09;M
0.126;M
0.101;B
0.088;B
0.091;B
0.097;B
0.098;M
0.063;B
0.087;B
0.109;M
0.114;M
0.096;M
0.091;B
0.091;M
0.093;B
0.086;M
0.098;B
0.101;B
0.081;B
0.108;M
0.087;B
0.07;B
0.103;M
0.104;M
0.079;B
0.12;M
0.074;M
0.085;M
0.099;M
0.096;B
0.09;M
0.114;M
0.132;M
0.1;B
0.089;M
0.109;B
0.088;M
0.1;B
0.082;B
0.091;M
0.089;B
0.114;M
0.101;M
0.095;M
0.103;M
0.094;B
0.081;B
0.094;M
0.084;M
0.096;B
0.105;B
0.106;B
0.102;M
0.084;B
0.099;B
0.105;B
0.084;B
0.079;B
0.109;M
0.114;M
0.069;B
0.078;B
0.092;M
0.085;B
0.091;B
0.095;M
0.084;M
0.082;B
0.098;M
0.094;B
0.079;B
0.096;B
0.08;B
0.103;M
0.107;B
0.072;B
0.088;B
0.097;B
0.101;B
0.101;M
0.093;B
0.106;M
0.101;M
0.104;M
0.11;M
0.093;M
0.134;M
0.111;M
0.106;M
0.1;M
0.087;M
0.09;M
0.078;M
0.097;M
0.095;M
0.097;B
0.08;B
0.094;B
0.108;B
0.064;B
0.098;B
0.094;M
0.09;B
0.089;M
0.122;B
0.094;B
0.089;M
0.079;B
0.095;B
0.102;M
0.078;B
0.104;M
0.107;M
0.078;B
0.084;B
0.086;B
0.07;B
0.08;B
0.087;B
0.088;B
0.09;B
0.1;B
0.084;B
0.097;B
0.092;B
0.085;B
0.1;M
0.066;B
0.102;B
0.115;M
0.085;B
0.108;M
0.107;B
0.089;B
0.075;B
0.085;B
0.07;B
0.074;B
0.084;B
0.088;B
0.076;B
0.088;B
0.086;B
0.107;B
0.085;B
0.077;B
0.097;M
0.1;B
0.076;B
0.106;B
0.08;M
0.113;B
0.117;M
0.087;B
0.103;B
0.093;B
0.077;B
0.117;M
0.116;M
0.095;M
0.096;B
0.105;B
0.083;B
0.083;B
0.112;M
0.095;B
0.091;M
0.101;B
0.107;M
0.098;B
0.085;B
0.103;B
0.098;M
0.115;B
0.099;B
0.084;B
0.089;B
0.091;B
0.116;B
0.076;B
0.124;M
0.115;M
0.102;M
0.073;B
0.088;B
0.108;B
0.087;B
0.083;B
0.101;B
0.074;B
0.086;B
0.097;B
0.097;B
0.079;B
0.092;M
0.099;M
0.092;B
0.094;M
0.106;M
0.097;M
0.08;B
0.1;M
0.094;M
0.083;B
0.099;B
0.091;B
0.075;B
0.083;B
0.122;M
0.124;B
0.08;B
0.069;B
0.104;B
0.084;B
0.087;M
0.081;B
0.07;B
0.084;B
0.101;M
0.1;B
0.104;B
0.116;M
0.117;M
0.103;B
0.08;B
0.106;B
0.08;B
0.077;B
0.091;B
0.123;M
0.089;B
0.074;B
0.099;B
0.087;B
0.1;B
0.095;B
0.076;B
0.104;M
0.087;B
0.089;B
0.108;B
0.08;B
0.085;B
0.083;M
0.098;B
0.104;B
0.112;M
0.088;B
0.102;B
0.085;B
0.103;B
0.109;B
0.091;B
0.108;B
0.081;B
0.098;B
0.088;B
0.082;B
0.079;B
0.099;M
0.105;B
0.113;M
0.102;M
0.089;B
0.106;M
0.091;B
0.085;B
0.087;B
0.08;B
0.089;B
0.083;M
0.088;B
0.081;B
0.089;M
0.103;B
0.1;M
0.092;B
0.084;B
0.097;M
0.066;B
0.103;M
0.084;B
0.11;B
0.086;B
0.092;B
0.094;B
0.088;B
0.084;B
0.08;B
0.099;M
0.108;M
0.07;B
0.085;B
0.075;B
0.083;B
0.087;B
0.083;B
0.093;M
0.118;B
0.089;B
0.088;B
0.081;B
0.077;B
0.101;B
0.09;B
0.089;B
0.068;B
0.105;B
0.103;M
0.091;B
0.08;B
0.107;B
0.1;B
0.104;B
0.095;B
0.086;B
0.109;M
0.113;B
0.075;M
0.082;B
0.078;B
0.1;M
0.074;B
0.073;B
0.096;B
0.108;B
0.089;B
0.101;M
0.108;M
0.099;B
0.116;M
0.116;B
0.093;M
0.163;B
0.126;B
0.11;B
0.119;B
0.094;B
0.118;M
0.081;B
0.085;B
0.111;M
0.098;B
0.092;M
0.105;B
0.107;M
0.104;M
0.122;B
0.112;B
0.137;B
0.103;M
0.085;B
0.099;B
0.095;B
0.104;B
0.108;B
0.09;B
0.125;B
0.11;B
0.107;B
0.102;B
0.093;B
0.092;M
0.097;B
0.105;M
0.104;M
0.124;B
0.081;B
0.087;B
0.1;B
0.088;B
0.083;B
0.087;B
0.096;B
0.092;B
0.094;B
0.089;B
0.085;B
0.082;B
0.074;B
0.096;B
0.083;B
0.092;B
0.081;B
0.09;B
0.1;B
0.081;B
0.085;B
0.093;B
0.099;B
0.074;B
0.105;M
0.11;M
0.111;M
0.098;M
0.085;M
0.118;M
0.053;B
